緯度情報,経度情報,愛工大からの距離,データ名
35.2538383805,136.9198435884,143.9638802384,名古屋空港・地元産品コーナー
35.1929697619,136.8592028668,143.9641188364,柴田家住宅主屋
35.1931391311,136.8620753288,143.9660276457,【尾張】西枇杷島問屋記念館
35.2151479262,136.8863381035,143.9675863992,庄内緑地公園・グリーンプラザ
35.2970889888,136.9688942220,143.9679569129,ＪＡ尾張中央桃選果場
35.2970889888,136.9688942220,143.9679569129,もも産地ＪＡ尾張中央・果実共同選果場
35.3191697005,136.9952630997,143.9709880531,兒（ちご）の森
35.3191602869,136.9954013293,143.9710924607,兒（ちご）の森
35.2920633796,136.9715781360,143.9734086262,高根遺跡
35.1746598879,136.8540587642,143.9734492885,中村公園豊頌軒
35.1747870492,136.8542331078,143.9734823712,中村公園記念館
35.3223565377,137.0057553749,143.9761549569,大山廃寺跡
35.2940845308,136.9785000603,143.9768731159,グリーンセンター桃花台店
35.0845438051,136.7743349075,143.9810056920,飛島村大宝排水機場保存館
35.2406749919,136.9322116260,143.9819340199,エアフロントオアシス（空港南側）
35.3116845715,137.0055735111,143.9835715906,市民四季の森
35.3116670616,137.0057559013,143.9837129533,市民四季の森
35.1156522695,136.8125295639,143.9859194074,農業文化園・戸田川緑地
35.1153802097,136.8125081062,143.9860969851,農業文化園と戸田川緑地公園
35.2718206223,136.9736711691,143.9892050549,グリーンセンター春日井中央店
35.2560978728,136.9597560167,143.9904899890,朝宮公園
35.0830732326,136.7864370346,143.9905870597,海部南部味噌
35.2560190242,136.9598203897,143.9905912660,朝宮公園
35.2538900822,136.9596004486,143.9919418004,【尾張】春日井・小牧でゆったり
35.3033319900,137.0092128480,143.9920508554,大草のマメナシ自生地
35.1099920458,136.8161831308,143.9925078142,ＪＡなごや南陽店
35.2270422973,136.9353488488,143.9937968345,白山神社古墳・御旅所古墳（御旅所古墳）
35.2273424906,136.9367761585,143.9945930270,白山神社古墳・御旅所古墳（白山神社古墳）
35.2259720209,136.9366262245,143.9954567785,二子山古墳
35.1862098681,136.8974507670,143.9959191424,乃木倉庫
35.2629267490,136.9749265909,143.9963831430,三つ又ふれあい公園
35.2323157971,136.9450349868,143.9969104650,グリーンセンター味美店
35.1856004444,136.8990558901,143.9974843287,名古屋城
35.1847967331,136.8984106978,143.9975974877,特別史跡　名古屋城跡
35.1840559726,136.8976994307,143.9976194214,名古屋城のカヤ
35.2984864164,137.0123999284,143.9977307117,くりの木ランチ
35.1855047215,136.9006153945,143.9986536777,名古屋城旧二之丸東二之門
35.1605165588,136.8769040520,143.9995962095,筧家住宅主屋
35.1851487356,136.9027137668,144.0003879029,名古屋城二之丸庭園
35.1750934855,136.8927226141,144.0004484433,伊藤家住宅
35.1828908692,136.9007666513,144.0006107130,名古屋城二之丸大手二之門
35.1553248089,136.8743931079,144.0014988548,善行寺
35.2716776044,136.9922807147,144.0024624436,落合公園の桜
35.2716776044,136.9922807147,144.0024624436,落合公園の桜
35.1775330707,136.8993019151,144.0033686440,東照宮社殿
35.1366909636,136.8585696359,144.0035200608,観音寺多宝塔
35.1681782905,136.8922298473,144.0049957591,旧加藤商会ビル
35.1814701019,136.9065356073,144.0056914326,名古屋市庁舎
35.1753821383,136.9009008914,144.0060206498,料亭河文
35.1802441706,136.9065504928,144.0065697011,愛知県庁舎
35.3178828329,137.0461070538,144.0078574675,あい農パーク春日井（春日井市ふれあい農業公園）
35.1815228547,136.9101367751,144.0081979182,旧名古屋控訴院地方裁判所区裁判所庁舎
