フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
164,POINT(137.116305828094 35.0425144984266),【豊田加茂】竹村駅近くのビオトープ,"","",システム管理者,2023/01/23 11:28:29,システム管理者,2023/02/09 15:49:30
165,POINT(137.059882879257 35.0442317483384),【豊田加茂】阿地和池,"","",システム管理者,2023/01/23 11:30:23,システム管理者,2023/02/09 15:51:37
166,POINT(137.441985011101 34.9735707311089),【新城設楽】甘泉寺のコウヤマキ,"","",システム管理者,2023/01/23 11:37:23,システム管理者,2023/02/08 13:15:20
167,POINT(137.208176851273 34.615629974062),【東三河】メロン狩り,"","",システム管理者,2023/01/23 11:47:37,システム管理者,""
168,POINT(137.208219766617 34.6153827439733),【東三河】いちご狩り,"","",システム管理者,2023/01/23 11:48:37,システム管理者,2023/01/24 11:55:36
170,POINT(137.040356397629 34.6145969005868),【東三河】西ノ浜海浜の森,"","",システム管理者,2023/01/23 13:02:41,システム管理者,2023/01/24 11:58:30
171,POINT(137.093667984009 34.6040358565314),【東三河】たはら凧まつり,"","",システム管理者,2023/01/23 13:04:09,システム管理者,""
172,POINT(137.198166847229 34.8358216237393),【東三河】早春の西迫町,"","",システム管理者,2023/01/23 13:32:23,システム管理者,""
173,POINT(137.188510894775 34.7914443119037),【東三河】形原港晩市,"","",システム管理者,2023/01/23 13:33:57,システム管理者,""
174,POINT(137.273397445679 34.8293840798384),【東三河】蒲郡さがらの森,"","",システム管理者,2023/01/23 13:34:57,システム管理者,""
175,POINT(137.17741727829 34.8046595869831),【東三河】双太山公園,"","",システム管理者,2023/01/23 13:36:15,システム管理者,""
176,POINT(137.178382873535 34.7851002274756),【東三河】蒲サ食品,"","",システム管理者,2023/01/23 13:40:58,システム管理者,""
177,POINT(137.394676208496 34.7679863889559),【東三河】鬼祭,"","",システム管理者,2023/01/23 13:45:07,システム管理者,2023/01/23 13:46:29
178,POINT(137.389993071556 34.7702822464482),【東三河】豊橋祇園祭,"","",システム管理者,2023/01/23 13:48:54,システム管理者,""
179,POINT(137.376362085342 34.765725722153),【東三河】	羽田まつり,"","",システム管理者,2023/01/23 13:52:33,システム管理者,""
180,POINT(137.450830936432 34.7625571590203),【東三河】多米民俗資料収蔵室,"","",システム管理者,2023/01/23 13:54:18,システム管理者,""
181,POINT(137.348670959473 34.6712997835222),【東三河】水の展示館,"","",システム管理者,2023/01/23 13:56:54,システム管理者,""
182,POINT(137.482277154922 34.8590665646109),【東三河】吉祥山,"","",システム管理者,2023/01/23 13:58:28,システム管理者,""
183,POINT(137.391929626465 34.8244609125535),【東三河】豊川稲荷春季大祭・秋季大祭,"","",システム管理者,2023/01/23 14:02:22,システム管理者,""
184,POINT(137.318555116653 34.8440901789279),【東三河】御油（ごゆ）の松並木資料館,"","",システム管理者,2023/01/23 14:04:39,システム管理者,""
185,POINT(137.307236194611 34.8571825601743),【東三河】旧東海道赤坂宿,"","",システム管理者,2023/01/23 14:09:12,システム管理者,""
186,POINT(137.288739681244 34.8545413598159),【東三河】宮路山（みやじさん）,"","",システム管理者,2023/01/23 14:11:12,システム管理者,""
187,POINT(137.36008644104 34.8468109595418),【東三河】ぎょぎょランド,"","",システム管理者,2023/01/23 14:13:17,システム管理者,""
188,POINT(137.316634654999 34.8011533404632),【東三河】引馬神社,"","",システム管理者,2023/01/23 14:21:09,システム管理者,""
189,POINT(137.242890000343 34.6434430706235),【東三河】黒河湿地植物群落,"","",システム管理者,2023/01/23 14:22:36,システム管理者,2023/02/09 16:17:48
191,POINT(137.017203569412 34.9715311042392),【西三河】依佐美送信所記念館,"","",システム管理者,2023/01/24 15:45:33,システム管理者,""
