フィーチャID,形状(WKT),番号,指定区分,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.823058984888 35.1940985620871),001,国指定,甚目寺南大門,あま市　（旧甚目寺町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:35:59
2,POINT(136.793122880123 35.239865912461),004,国指定,性海寺多宝塔,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:28:20
3,POINT(137.199529409409 34.9841460852397),003,国指定,滝山寺三門,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:31:37
4,POINT(137.124076739365 34.9485422749077),005,国指定,妙源寺柳堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:29:14
5,POINT(137.20561853897 34.9881995241714),006,国指定,滝山寺本堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:33:14
6,POINT(137.164235040539 34.9838876794523),007,国指定,大樹寺多宝塔,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:44:41
7,POINT(137.175058824462 35.0030167045449),008,国指定,信光明寺観音堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:13
8,POINT(136.831254333123 35.2333610708328),009,国指定,長光寺地蔵堂,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:22
9,POINT(137.041350628945 35.0124357938336),010,国指定,知立神社多宝塔,知立市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:34
10,POINT(137.313717250708 34.9242469281078),011,国指定,天恩寺仏殿,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:50
11,POINT(137.313881317561 34.9241836255794),012,国指定,天恩寺山門,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:01
12,POINT(137.439853569517 34.6831933044228),013,国指定,東観音寺多宝塔,豊橋市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:16
13,POINT(137.399552352752 34.8201889671896),014,国指定,三明寺三重塔,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:30
14,POINT(137.33969617112 34.8382105811847),015,国指定,八幡宮本殿,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:53
15,POINT(137.311965321332 35.1344263581714),016,国指定,足助八幡宮本殿,豊田市　（旧足助町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:51:04
16,POINT(136.801001552073 35.2837624930217),017,国指定,妙興寺勅使門,一宮市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:51:47
17,POINT(137.002954784455 35.2438652522107),018,国指定,密蔵院多宝塔,春日井市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:00
18,POINT(136.892170148266 35.241411108841),019,国指定,高田寺本堂,北名古屋市　（旧師勝,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:33
19,POINT(136.718636175535 35.1783517071858),020,国指定,津島神社本殿,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:50
20,POINT(136.858569635899 35.136690963627),026,国指定,観音寺多宝塔,名古屋市　中川区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:53:13
21,POINT(137.087442165996 34.7781596404468),027,国指定,幡頭神社本殿,西尾市　（旧吉良町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:41
22,POINT(137.09111151022 35.2803252657565),029,国指定,定光寺本堂,瀬戸市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:53:42
23,POINT(137.15897349017 34.9092718313824),030,国指定,八幡宮本殿（上地）,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:02
24,POINT(136.984551782988 35.2232771756492),031,国指定,龍泉寺仁王門,名古屋市　守山区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:17
25,POINT(137.076585758525 34.8748468754804),033,国指定,久麻久神社本殿,西尾市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:01:34
26,POINT(136.899055890108 35.1856004443781),034,国指定,名古屋城,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:02:53
27,POINT(137.155373350817 34.9076398582983),035,国指定,八幡宮本殿（土呂）,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:03:28
28,POINT(137.164563948142 34.9717808506301),036,国指定,伊賀八幡宮,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:03:42
29,POINT(137.168495097266 34.9494331788368),037,国指定,六所神社,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:04:00
30,POINT(136.942166152942 35.388031689165),043,国指定,旧正伝院書院,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:04:19
31,POINT(137.092353599151 35.2804612498617),041,国指定,源敬公（徳川義直）廟,瀬戸市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:04:38
32,POINT(136.942397536054 35.3879509916861),042,国指定,国宝　如庵,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:05:07
33,POINT(136.939281239256 35.3883598169501),039,国指定,国宝　犬山城天守,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:05:32
34,POINT(136.822750029284 35.19444924636),047,国指定,甚目寺,あま市　（旧甚目寺町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:06:20
35,POINT(136.787595381566 35.1478389442459),044,国指定,冨吉建速神社本殿,海部郡　蟹江町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:06:49
36,POINT(136.787684685694 35.1475147034223),045,国指定,八剱社本殿,海部郡　蟹江町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:07:15
37,POINT(137.205936221929 34.9882444956027),048,国指定,滝山東照宮,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:07:38
38,POINT(137.587636118764 34.9781908586979),049,国指定,東照宮,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:07:55
39,POINT(137.586414116232 34.9791055721304),050,国指定,鳳来寺仁王門,新城市　（旧鳳来町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:08:32
40,POINT(137.399259179601 34.8208926961651),046,国指定,三明寺本堂内宮殿,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:08:15
41,POINT(136.805468874339 35.2556243366977),051,国指定,尾張大国霊神社楼門,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:08:48
42,POINT(136.805489693663 35.2558858133857),052,国指定,尾張大国霊神社拝殿,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:09:01
43,POINT(137.072514397542 34.8095033138032),022,国指定,国宝　金蓮寺弥陀堂,西尾市　（旧吉良町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:09:37
44,POINT(136.931590867142 35.105258678242),053,国指定,富部神社本殿,名古屋市　南区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:10:15
45,POINT(136.856378621532 35.3491711504797),054,国指定,曼陀羅寺正堂,江南市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:10:28
46,POINT(136.816588381577 35.2560897021732),055,国指定,万徳寺鎮守堂,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:10:47
47,POINT(136.719032455781 35.1781638704236),056,国指定,津島神社楼門,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:11:06
48,POINT(136.856300709633 35.3494053189021),057,国指定,曼陀羅寺書院,江南市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:11:27
49,POINT(136.990208473673 35.340174005567),058,国指定,旧西郷従道住宅（旧所在　東京都目黒区上目黒） ,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:14:32
50,POINT(136.988967640117 35.3391265389903),059,国指定,旧日本聖公会京都聖約翰教会堂,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:11:42
51,POINT(136.988552212715 35.3416493733084),060,国指定,旧山梨県東山梨郡役所,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:55:49
52,POINT(136.994143702046 35.341667031089),061,国指定,旧品川燈台,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:12:31
53,POINT(136.99391234872 35.3418199423074),062,国指定,旧菅島燈台付属官舎,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:12:44
54,POINT(136.989123523235 35.3409426706538),063,国指定,旧三重県県庁舎,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:55:31
55,POINT(136.990341246128 35.3416231182119),064,国指定,旧札幌電話交換局舎,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:56:09
56,POINT(136.793551014964 35.2399483618759),066,国指定,性海寺本堂及び宝塔,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:13:24
57,POINT(136.989798094001 35.341705822131),067,国指定,旧東松家住宅,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:13:39
58,POINT(136.716906130314 35.1288087878164),068,国指定,服部家住宅（愛知県海部郡弥富町） ,弥富市　（旧弥富町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:34:02
59,POINT(137.700353528 35.1442818499011),069,国指定,熊谷家住宅（愛知県北設楽郡豊根村） ,北設楽郡　豊根村,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:16:19
60,POINT(137.518932863505 34.8734955124806),070,国指定,望月家住宅（愛知県新城市黒田） ,新城市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:19:09
61,POINT(136.900766651251 35.1828908692425),071,国指定,名古屋城二之丸大手二之門,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:19:27
62,POINT(136.900615394499 35.1855047214505),072,国指定,名古屋城旧二之丸東二之門,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:19:39
63,POINT(136.927296267786 34.8964966889088),073,国指定,旧中埜家住宅,半田市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:19:51
64,POINT(136.719919894422 35.1764994866996),074,国指定,旧堀田家住宅（愛知県津島市禰宜町） ,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:20:22
65,POINT(136.967031186969 35.3303845680472),075,国指定,大縣神社,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:21:01
66,POINT(136.962482173504 35.1399034078298),076,国指定,興正寺五重塔,名古屋市　昭和区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:21:16
67,POINT(136.910136775072 35.1815228546812),077,国指定,旧名古屋控訴院地方裁判所区裁判所庁舎,名古屋市　東区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:21:32
68,POINT(136.989460713485 35.345067628274),079,国指定,旧呉服座,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:21:54
69,POINT(136.897525643891 35.0132658224284),078,国指定,観福寺本堂内宮殿,東海市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:22:06
70,POINT(137.355821728706 34.8736111227397),0415-0417,国登録,財賀寺,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 18:29:48
71,POINT(136.990727341543 35.3444114412935),081,国指定,旧伊勢郵便局舎(宇治山田郵便局舎),犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:22:43
72,POINT(137.176159652489 34.9535525890532),082,国指定,旧額田郡公会堂及物産陳列所,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:22:52
73,POINT(136.68016742574 35.1318783304685),083,国指定,船頭平閘門,愛西市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:23:02
74,POINT(136.982170227649 35.1542680380323),084,国指定,名古屋市東山植物園温室前館,名古屋市　千種区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:23:32
75,POINT(136.89172966833 35.2416985679667),002,県指定,白山社本殿,北名古屋市　（旧師勝,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:41:08
76,POINT(136.852997861491 34.7709299103552),003,県指定,大御堂寺客殿,知多郡　美浜町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:41:29
77,POINT(137.310427302485 34.8200564621025),001,県指定,大恩寺山門,豊川市　（旧御津町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:42:24
78,POINT(136.857116938103 35.3488665616827),009,県指定,曼陀羅寺伽藍（地蔵堂）,江南市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:43:11
79,POINT(137.165417992832 34.9839508007007),005,県指定,大樹寺伽藍,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:42:50
80,POINT(136.984378223376 34.8868325771703),004,県指定,熊野神社射小屋並びに南山矢取塚,碧南市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:43:23
81,POINT(137.068153082705 34.8004758250031),011,県指定,西福寺鐘楼,幡豆郡　吉良町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:43:33
82,POINT(137.545971589064 35.1508850960411),008,県指定,八幡神社本殿,北設楽郡　設楽町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:43:42
83,POINT(137.321365068461 34.8759808157665),007,県指定,黒門,豊川市　（旧音羽町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:44:31
84,POINT(136.953928037961 35.0786257957006),017,県指定,瑞泉寺総門,名古屋市　緑区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:44:11
85,POINT(137.087551408796 34.7781777416147),013,県指定,幡頭神社境内社神明社本殿,幡豆郡　吉良町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:44:46
86,POINT(137.087365692615 34.7781505755939),014,県指定,幡頭神社境内社熊野社本殿,幡豆郡　吉良町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:44:57
87,POINT(136.884613528966 35.3419839149301),018,県指定,宮後八幡社本殿,江南市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:45:14
88,POINT(136.971920532522 35.3647907316892),020,県指定,神明社楼門,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:53:23
89,POINT(136.927468979364 35.1793858431917),021,県指定,建中寺徳川家霊廟,名古屋市　東区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:53:36
90,POINT(136.899301915108 35.1775330707068),022,県指定,東照宮社殿,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:53:52
91,POINT(137.445103286996 34.8394663871849),023,県指定,賀茂神社本殿,豊橋市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:54:36
92,POINT(136.955014539715 35.1715945332447),024,県指定,草結庵,名古屋市　千種区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:54:56
93,POINT(136.945903839291 35.1345287369619),025,県指定,暮雨巷,名古屋市　瑞穂区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:55:05
94,POINT(136.975005663985 35.2045305145443),028,県指定,無縫塔,名古屋市　守山区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:55:19
95,POINT(136.970953709518 35.0666740496953),029,県指定,住宅（服部家）,名古屋市　緑区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 18:59:54
96,POINT(137.048745016404 34.722424002068),026,県指定,八劔神社本殿,西尾市　（旧一色町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:00:35
97,POINT(137.048777580409 34.7225592607072),027,県指定,神明社本殿,西尾市　（旧一色町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:01:06
98,POINT(136.991488966395 35.3432497144061),032,県指定,旧名古屋衛戌病院,犬山市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:01:27
99,POINT(136.723363548517 35.1399222725866),030,県指定,八幡社本殿,愛西市　（旧佐屋町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:35:30
100,POINT(136.718672426059 35.1777478779761),033,県指定,津島神社南門,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:02:03
101,POINT(136.800345721755 35.2853650453271),035,県指定,妙興寺鐘楼,一宮市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:02:13
102,POINT(137.036340205157 34.8759733223919),037,県指定,実相寺釈迦堂,西尾市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:02:29
103,POINT(137.085202118707 34.9004642846879),038,県指定,本證寺本堂,安城市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:02:45
104,POINT(136.82410288732 35.332344665823),039,県指定,長誓寺本堂（旧渡辺半蔵邸書院） ,一宮市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:07:43
105,POINT(137.208442403612 35.1988787098886),040,県指定,旧山内家住宅,豊田市　（旧藤岡町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:08:07
106,POINT(136.924067243066 35.1491806231221),042,県指定,旧藤山家住宅日本家,名古屋市　昭和区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:08:27
107,POINT(136.949850201886 35.1401969734222),043,県指定,旧渡辺家書院及び茶室,名古屋市　昭和区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:08:45
108,POINT(136.718670052108 35.1781805593216),044,県指定,津島神社,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:12:08
109,POINT(137.123164105341 34.8729522834221),045,県指定,長圓寺肖影堂,西尾市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:12:58
110,POINT(137.318697401352 35.1373297909972),047,県指定,旧稲橋銀行足助支店,豊田市　（旧足助町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:14:13
111,POINT(137.394085320998 34.7679843289649),085,国指定,豊橋ハリストス正教会聖使徒聖使徒福音者馬太聖堂,豊橋市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:27:50
112,POINT(137.065173129768 34.8064142767701),048,県指定,旧糟谷縫右衛門住宅,幡豆郡　吉良町,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:15:35
113,POINT(136.957556060954 35.1737263594086),051,県指定,日泰寺奉安塔,名古屋市　千種区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:15:55
114,POINT(136.892722614146 35.1750934855333),049,県指定,伊藤家住宅,名古屋市　西区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:16:13
115,POINT(136.971173424474 35.0664941116319),050,県指定,服部幸平家住宅　倉,名古屋市　緑区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:16:29
116,POINT(137.39925933164 34.820946785732),054,県指定,三明寺本堂,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:16:50
117,POINT(137.061305319426 35.3258791742756),055,県指定,内々神社社殿,春日井市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:17:04
118,POINT(136.897558721783 35.013202792996),056,県指定,観福寺本堂,東海市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:17:19
119,POINT(137.151993959144 34.9576718383665),0001-0002,国登録,八丁味噌本社事務所,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:30:13
120,POINT(136.933638512753 35.1835445123464),0003-0004,国登録,徳川美術館本館,名古屋市　東区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/07 19:30:37
122,POINT(136.897450766971 35.1862098680722),0005,国登録,乃木倉庫,名古屋市　中区,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 19:31:18
123,POINT(136.848628377414 34.8817032411754),0006-0007,国登録,窯のある広場・資料館（倒焔式角窯）,常滑市,"","",システム管理者,2015/01/26 15:51:02,システム管理者,2020/09/07 19:31:36
